害蟲名稱,縣市,鄉鎮,年度,月份,旬,平均值
斜紋夜蛾,彰化縣,福興鄉,2014,3,3,5.67
斜紋夜蛾,彰化縣,田尾鄉,2014,3,3,8.33
斜紋夜蛾,彰化縣,大城鄉,2014,3,3,24.67
斜紋夜蛾,新竹縣,竹北市,2014,3,3,5.67
斜紋夜蛾,新北市,蘆洲區,2014,3,3,2
斜紋夜蛾,雲林縣,褒忠鄉,2014,3,3,3.67
斜紋夜蛾,高雄市,岡山區,2014,3,3,4.67
斜紋夜蛾,苗栗縣,後龍鎮,2014,3,3,6
斜紋夜蛾,花蓮縣,新秀地區,2014,3,3,21.33
斜紋夜蛾,花蓮縣,吉安鄉,2014,3,3,7.33
斜紋夜蛾,台南市,官田區,2014,3,3,11.67
斜紋夜蛾,台中市,霧峰區,2014,3,3,71.67
斜紋夜蛾,台中市,龍井區,2014,3,3,6
斜紋夜蛾,台中市,大甲區,2014,3,3,1.67
斜紋夜蛾,彰化縣,福興鄉,2014,3,2,7.33
斜紋夜蛾,彰化縣,田尾鄉,2014,3,2,5
斜紋夜蛾,彰化縣,大城鄉,2014,3,2,14.67
斜紋夜蛾,新竹縣,竹北市,2014,3,2,2.67
斜紋夜蛾,新北市,蘆洲區,2014,3,2,4
斜紋夜蛾,雲林縣,褒忠鄉,2014,3,2,3.67
斜紋夜蛾,高雄市,岡山區,2014,3,2,3.67
斜紋夜蛾,苗栗縣,後龍鎮,2014,3,2,5.67
斜紋夜蛾,花蓮縣,新秀地區,2014,3,2,19
斜紋夜蛾,花蓮縣,吉安鄉,2014,3,2,6.67
斜紋夜蛾,台南市,官田區,2014,3,2,10.33
斜紋夜蛾,台中市,霧峰區,2014,3,2,65.33
斜紋夜蛾,台中市,龍井區,2014,3,2,7
斜紋夜蛾,台中市,大甲區,2014,3,2,1
斜紋夜蛾,彰化縣,福興鄉,2014,3,1,17.67
斜紋夜蛾,彰化縣,田尾鄉,2014,3,1,6.67
斜紋夜蛾,彰化縣,大城鄉,2014,3,1,12.33
斜紋夜蛾,新竹縣,竹北市,2014,3,1,2.67
斜紋夜蛾,新北市,蘆洲區,2014,3,1,3
斜紋夜蛾,雲林縣,褒忠鄉,2014,3,1,4.67
斜紋夜蛾,高雄市,岡山區,2014,3,1,2.33
斜紋夜蛾,苗栗縣,後龍鎮,2014,3,1,5
斜紋夜蛾,花蓮縣,新秀地區,2014,3,1,15.67
斜紋夜蛾,花蓮縣,吉安鄉,2014,3,1,6.33
斜紋夜蛾,台南市,官田區,2014,3,1,5
斜紋夜蛾,台中市,霧峰區,2014,3,1,72.33
斜紋夜蛾,台中市,龍井區,2014,3,1,3
斜紋夜蛾,台中市,大甲區,2014,3,1,1
斜紋夜蛾,彰化縣,福興鄉,2014,2,3,19
斜紋夜蛾,彰化縣,大城鄉,2014,2,3,8
斜紋夜蛾,新竹縣,竹北市,2014,2,3,3
斜紋夜蛾,新北市,蘆洲區,2014,2,3,2
斜紋夜蛾,雲林縣,褒忠鄉,2014,2,3,4.3
斜紋夜蛾,高雄市,岡山區,2014,2,3,4
斜紋夜蛾,苗栗縣,後龍鎮,2014,2,3,4.7
斜紋夜蛾,花蓮縣,新秀地區,2014,2,3,14.3
斜紋夜蛾,花蓮縣,吉安鄉,2014,2,3,8.7
斜紋夜蛾,台南市,官田區,2014,2,3,11.3
斜紋夜蛾,台中市,霧峰區,2014,2,3,61
斜紋夜蛾,台中市,龍井區,2014,2,3,5
斜紋夜蛾,台中市,大甲區,2014,2,3,0.7
斜紋夜蛾,彰化縣,福興鄉,2014,2,2,9
斜紋夜蛾,彰化縣,田尾鄉,2014,2,2,1.7
斜紋夜蛾,彰化縣,大城鄉,2014,2,2,10.3
斜紋夜蛾,新竹縣,竹北市,2014,2,2,4
斜紋夜蛾,新北市,蘆洲區,2014,2,2,4
斜紋夜蛾,雲林縣,褒忠鄉,2014,2,2,5.3
斜紋夜蛾,高雄市,岡山區,2014,2,2,4.3
斜紋夜蛾,苗栗縣,後龍鎮,2014,2,2,3.7
斜紋夜蛾,花蓮縣,新秀地區,2014,2,2,2.7
斜紋夜蛾,花蓮縣,吉安鄉,2014,2,2,8.7
斜紋夜蛾,台南市,官田區,2014,2,2,5.3
斜紋夜蛾,台中市,霧峰區,2014,2,2,70.7
斜紋夜蛾,台中市,龍井區,2014,2,2,2.3
斜紋夜蛾,台中市,大甲區,2014,2,2,0.7
斜紋夜蛾,彰化縣,福興鄉,2014,2,1,4.7
斜紋夜蛾,彰化縣,田尾鄉,2014,2,1,5
斜紋夜蛾,彰化縣,大城鄉,2014,2,1,14
斜紋夜蛾,新竹縣,竹北市,2014,2,1,6.7
斜紋夜蛾,新北市,蘆洲區,2014,2,1,4.7
斜紋夜蛾,雲林縣,褒忠鄉,2014,2,1,2.7
斜紋夜蛾,高雄市,岡山區,2014,2,1,6.7
斜紋夜蛾,苗栗縣,後龍鎮,2014,2,1,4.3
斜紋夜蛾,花蓮縣,新秀地區,2014,2,1,13
斜紋夜蛾,花蓮縣,吉安鄉,2014,2,1,8
斜紋夜蛾,台南市,官田區,2014,2,1,5.7
斜紋夜蛾,台中市,霧峰區,2014,2,1,65
斜紋夜蛾,台中市,龍井區,2014,2,1,2
斜紋夜蛾,台中市,大甲區,2014,2,1,0
斜紋夜蛾,彰化縣,福興鄉,2014,1,3,5.3
斜紋夜蛾,彰化縣,大城鄉,2014,1,3,20
斜紋夜蛾,新竹縣,竹北市,2014,1,3,4.7
斜紋夜蛾,新北市,蘆洲區,2014,1,3,11.3
斜紋夜蛾,雲林縣,褒忠鄉,2014,1,3,5.7
斜紋夜蛾,高雄市,岡山區,2014,1,3,4.3
斜紋夜蛾,苗栗縣,後龍鎮,2014,1,3,3.3
斜紋夜蛾,花蓮縣,新秀地區,2014,1,3,8.7
斜紋夜蛾,花蓮縣,吉安鄉,2014,1,3,8.7
斜紋夜蛾,台南市,官田區,2014,1,3,6.7
斜紋夜蛾,台中市,龍井區,2014,1,3,0.7
斜紋夜蛾,台中市,大甲區,2014,1,3,0.7
斜紋夜蛾,彰化縣,福興鄉,2014,1,2,10.3
斜紋夜蛾,彰化縣,田尾鄉,2014,1,2,5
斜紋夜蛾,彰化縣,大城鄉,2014,1,2,19
斜紋夜蛾,新竹縣,竹北市,2014,1,2,5.7
斜紋夜蛾,新北市,蘆洲區,2014,1,2,16.7
斜紋夜蛾,雲林縣,褒忠鄉,2014,1,2,0
斜紋夜蛾,高雄市,岡山區,2014,1,2,8.3
斜紋夜蛾,苗栗縣,後龍鎮,2014,1,2,2
斜紋夜蛾,花蓮縣,新秀地區,2014,1,2,10.7
斜紋夜蛾,花蓮縣,吉安鄉,2014,1,2,7.3
斜紋夜蛾,台南市,官田區,2014,1,2,19.3
斜紋夜蛾,台中市,霧峰區,2014,1,2,64.7
斜紋夜蛾,台中市,龍井區,2014,1,2,1
斜紋夜蛾,台中市,大甲區,2014,1,2,1
斜紋夜蛾,彰化縣,福興鄉,2014,1,1,9.7
斜紋夜蛾,彰化縣,田尾鄉,2014,1,1,3.3
斜紋夜蛾,彰化縣,大城鄉,2014,1,1,18.7
斜紋夜蛾,新竹縣,竹北市,2014,1,1,5.3
斜紋夜蛾,新北市,蘆洲區,2014,1,1,36.7
斜紋夜蛾,雲林縣,褒忠鄉,2014,1,1,3.7
斜紋夜蛾,高雄市,岡山區,2014,1,1,6.3
斜紋夜蛾,苗栗縣,後龍鎮,2014,1,1,12
斜紋夜蛾,花蓮縣,新秀地區,2014,1,1,10.7
斜紋夜蛾,花蓮縣,吉安鄉,2014,1,1,7.7
斜紋夜蛾,台南市,官田區,2014,1,1,23.7
斜紋夜蛾,台中市,霧峰區,2014,1,1,63.7
斜紋夜蛾,台中市,龍井區,2014,1,1,0.3
斜紋夜蛾,台中市,大甲區,2014,1,1,2
斜紋夜蛾,彰化縣,福興鄉,2013,12,3,5.3
斜紋夜蛾,彰化縣,田尾鄉,2013,12,3,5
斜紋夜蛾,彰化縣,大城鄉,2013,12,3,13.3
斜紋夜蛾,新北市,蘆洲區,2013,12,3,61.3
斜紋夜蛾,雲林縣,褒忠鄉,2013,12,3,6.7
斜紋夜蛾,高雄市,岡山區,2013,12,3,2.3
斜紋夜蛾,苗栗縣,後龍鎮,2013,12,3,26.3
斜紋夜蛾,花蓮縣,新秀地區,2013,12,3,11.3
斜紋夜蛾,花蓮縣,吉安鄉,2013,12,3,6.3
斜紋夜蛾,宜蘭縣,三星地區,2013,12,3,1
斜紋夜蛾,台南市,官田區,2013,12,3,48.7
斜紋夜蛾,台中市,龍井區,2013,12,3,9.7
斜紋夜蛾,台中市,大甲區,2013,12,3,0.7
斜紋夜蛾,彰化縣,福興鄉,2013,12,2,9
斜紋夜蛾,彰化縣,田尾鄉,2013,12,2,3.3
斜紋夜蛾,彰化縣,大城鄉,2013,12,2,30
斜紋夜蛾,新竹縣,竹北市,2013,12,2,10
斜紋夜蛾,新北市,蘆洲區,2013,12,2,54
斜紋夜蛾,雲林縣,褒忠鄉,2013,12,2,5.7
斜紋夜蛾,高雄市,岡山區,2013,12,2,10
斜紋夜蛾,苗栗縣,後龍鎮,2013,12,2,28.3
斜紋夜蛾,花蓮縣,新秀地區,2013,12,2,10
斜紋夜蛾,花蓮縣,吉安鄉,2013,12,2,7.3
斜紋夜蛾,宜蘭縣,三星地區,2013,12,2,1.7
斜紋夜蛾,台南市,官田區,2013,12,2,12
斜紋夜蛾,台中市,霧峰區,2013,12,2,58
斜紋夜蛾,台中市,龍井區,2013,12,2,13
斜紋夜蛾,台中市,大甲區,2013,12,2,2.3
斜紋夜蛾,彰化縣,福興鄉,2013,12,1,16.7
斜紋夜蛾,彰化縣,田尾鄉,2013,12,1,5
斜紋夜蛾,彰化縣,大城鄉,2013,12,1,74.3
斜紋夜蛾,新竹縣,竹北市,2013,12,1,0
斜紋夜蛾,新北市,蘆洲區,2013,12,1,45.3
斜紋夜蛾,雲林縣,褒忠鄉,2013,12,1,10
斜紋夜蛾,高雄市,岡山區,2013,12,1,6.7
斜紋夜蛾,苗栗縣,後龍鎮,2013,12,1,60.3
斜紋夜蛾,花蓮縣,新秀地區,2013,12,1,8.7
斜紋夜蛾,花蓮縣,吉安鄉,2013,12,1,6.3
斜紋夜蛾,宜蘭縣,三星地區,2013,12,1,2
斜紋夜蛾,台南市,官田區,2013,12,1,34
斜紋夜蛾,台中市,霧峰區,2013,12,1,62
斜紋夜蛾,台中市,龍井區,2013,12,1,18
斜紋夜蛾,台中市,大甲區,2013,12,1,1.3
斜紋夜蛾,彰化縣,福興鄉,2013,11,3,21
斜紋夜蛾,彰化縣,田尾鄉,2013,11,3,5
斜紋夜蛾,彰化縣,大城鄉,2013,11,3,180
斜紋夜蛾,新竹縣,竹北市,2013,11,3,7
斜紋夜蛾,新北市,蘆洲區,2013,11,3,24.7
斜紋夜蛾,雲林縣,褒忠鄉,2013,11,3,9.7
斜紋夜蛾,高雄市,岡山區,2013,11,3,7.7
斜紋夜蛾,苗栗縣,後龍鎮,2013,11,3,13
斜紋夜蛾,花蓮縣,新秀地區,2013,11,3,9
斜紋夜蛾,花蓮縣,吉安鄉,2013,11,3,6.3
斜紋夜蛾,宜蘭縣,三星地區,2013,11,3,1
斜紋夜蛾,台南市,官田區,2013,11,3,57
斜紋夜蛾,台中市,霧峰區,2013,11,3,59.7
斜紋夜蛾,台中市,龍井區,2013,11,3,29.7
斜紋夜蛾,台中市,大甲區,2013,11,3,0.7
斜紋夜蛾,彰化縣,福興鄉,2013,11,2,10.7
斜紋夜蛾,彰化縣,大城鄉,2013,11,2,170
斜紋夜蛾,新竹縣,竹北市,2013,11,2,5.7
斜紋夜蛾,新北市,蘆洲區,2013,11,2,23.3
斜紋夜蛾,雲林縣,褒忠鄉,2013,11,2,21
斜紋夜蛾,高雄市,岡山區,2013,11,2,9
斜紋夜蛾,苗栗縣,後龍鎮,2013,11,2,16
斜紋夜蛾,花蓮縣,新秀地區,2013,11,2,9.7
斜紋夜蛾,花蓮縣,吉安鄉,2013,11,2,6.3
斜紋夜蛾,宜蘭縣,三星地區,2013,11,2,1
斜紋夜蛾,台南市,官田區,2013,11,2,107.3
斜紋夜蛾,台中市,霧峰區,2013,11,2,59.7
斜紋夜蛾,台中市,龍井區,2013,11,2,20.7
斜紋夜蛾,台中市,大甲區,2013,11,2,1
斜紋夜蛾,彰化縣,福興鄉,2013,11,1,11.3
斜紋夜蛾,彰化縣,大城鄉,2013,11,1,163.3
斜紋夜蛾,新竹縣,竹北市,2013,11,1,8.7
斜紋夜蛾,新北市,蘆洲區,2013,11,1,45.7
斜紋夜蛾,雲林縣,褒忠鄉,2013,11,1,6
斜紋夜蛾,高雄市,岡山區,2013,11,1,7.7
斜紋夜蛾,苗栗縣,後龍鎮,2013,11,1,15
斜紋夜蛾,花蓮縣,新秀地區,2013,11,1,11.3
斜紋夜蛾,花蓮縣,吉安鄉,2013,11,1,6.3
斜紋夜蛾,宜蘭縣,三星地區,2013,11,1,1.3
斜紋夜蛾,台南市,官田區,2013,11,1,117.7
斜紋夜蛾,台中市,霧峰區,2013,11,1,66.3
斜紋夜蛾,台中市,龍井區,2013,11,1,9
斜紋夜蛾,台中市,大甲區,2013,11,1,0.7
斜紋夜蛾,彰化縣,福興鄉,2013,10,3,28
斜紋夜蛾,彰化縣,田尾鄉,2013,10,3,13.3
斜紋夜蛾,彰化縣,大城鄉,2013,10,3,123.3
斜紋夜蛾,新竹縣,竹北市,2013,10,3,4.7
斜紋夜蛾,新北市,蘆洲區,2013,10,3,35
斜紋夜蛾,雲林縣,褒忠鄉,2013,10,3,11.7
斜紋夜蛾,高雄市,岡山區,2013,10,3,5
斜紋夜蛾,桃園縣,八德市,2013,10,3,12.3
斜紋夜蛾,苗栗縣,後龍鎮,2013,10,3,2
斜紋夜蛾,花蓮縣,新秀地區,2013,10,3,11.3
斜紋夜蛾,花蓮縣,吉安鄉,2013,10,3,7.3
斜紋夜蛾,台南市,官田區,2013,10,3,74.3
斜紋夜蛾,台中市,霧峰區,2013,10,3,61.3
斜紋夜蛾,台中市,龍井區,2013,10,3,12
斜紋夜蛾,台中市,大甲區,2013,10,3,3.7
斜紋夜蛾,彰化縣,福興鄉,2013,10,2,29.67
斜紋夜蛾,彰化縣,大城鄉,2013,10,2,135.33
斜紋夜蛾,新竹縣,竹北市,2013,10,2,4.67
斜紋夜蛾,新北市,蘆洲區,2013,10,2,24.33
斜紋夜蛾,雲林縣,褒忠鄉,2013,10,2,11.33
斜紋夜蛾,高雄市,岡山區,2013,10,2,7
斜紋夜蛾,苗栗縣,後龍鎮,2013,10,2,0
斜紋夜蛾,花蓮縣,新秀地區,2013,10,2,14.67
斜紋夜蛾,花蓮縣,吉安鄉,2013,10,2,7.33
斜紋夜蛾,宜蘭縣,三星地區,2013,10,2,0
斜紋夜蛾,台南市,官田區,2013,10,2,36
斜紋夜蛾,台中市,霧峰區,2013,10,2,61.33
斜紋夜蛾,台中市,大甲區,2013,10,2,3
斜紋夜蛾,彰化縣,福興鄉,2013,10,1,44
斜紋夜蛾,彰化縣,田尾鄉,2013,10,1,6.67
斜紋夜蛾,彰化縣,大城鄉,2013,10,1,68.33
斜紋夜蛾,新竹縣,竹北市,2013,10,1,4
斜紋夜蛾,新北市,蘆洲區,2013,10,1,25.33
斜紋夜蛾,雲林縣,褒忠鄉,2013,10,1,11.33
斜紋夜蛾,高雄市,岡山區,2013,10,1,5.33
斜紋夜蛾,苗栗縣,後龍鎮,2013,10,1,2.67
斜紋夜蛾,花蓮縣,新秀地區,2013,10,1,17.67
斜紋夜蛾,花蓮縣,吉安鄉,2013,10,1,7
斜紋夜蛾,宜蘭縣,三星地區,2013,10,1,0.33
斜紋夜蛾,台南市,官田區,2013,10,1,16.67
斜紋夜蛾,台中市,龍井區,2013,10,1,0.67
斜紋夜蛾,台中市,大甲區,2013,10,1,2
斜紋夜蛾,彰化縣,福興鄉,2013,9,3,32.67
斜紋夜蛾,彰化縣,田尾鄉,2013,9,3,10
斜紋夜蛾,彰化縣,大城鄉,2013,9,3,41.67
斜紋夜蛾,新竹縣,竹北市,2013,9,3,4.67
斜紋夜蛾,新北市,蘆洲區,2013,9,3,51.67
斜紋夜蛾,雲林縣,褒忠鄉,2013,9,3,12.67
斜紋夜蛾,高雄市,岡山區,2013,9,3,2.33
斜紋夜蛾,苗栗縣,後龍鎮,2013,9,3,4.67
斜紋夜蛾,花蓮縣,新秀地區,2013,9,3,18.67
斜紋夜蛾,花蓮縣,吉安鄉,2013,9,3,9
斜紋夜蛾,宜蘭縣,三星地區,2013,9,3,0.33
斜紋夜蛾,台南市,官田區,2013,9,3,29.33
斜紋夜蛾,台中市,霧峰區,2013,9,3,56.67
斜紋夜蛾,台中市,龍井區,2013,9,3,2.33
斜紋夜蛾,台中市,大甲區,2013,9,3,2.33
斜紋夜蛾,彰化縣,福興鄉,2013,9,2,21
斜紋夜蛾,彰化縣,田尾鄉,2013,9,2,3.33
斜紋夜蛾,彰化縣,大城鄉,2013,9,2,65
斜紋夜蛾,新竹縣,竹北市,2013,9,2,4.67
斜紋夜蛾,新北市,蘆洲區,2013,9,2,53.67
斜紋夜蛾,雲林縣,褒忠鄉,2013,9,2,13
斜紋夜蛾,高雄市,岡山區,2013,9,2,4.33
斜紋夜蛾,桃園縣,八德市,2013,9,2,12
斜紋夜蛾,苗栗縣,後龍鎮,2013,9,2,16.33
斜紋夜蛾,花蓮縣,新秀地區,2013,9,2,21.67
斜紋夜蛾,花蓮縣,吉安鄉,2013,9,2,8.67
斜紋夜蛾,宜蘭縣,三星地區,2013,9,2,0.33
斜紋夜蛾,台南市,官田區,2013,9,2,21
斜紋夜蛾,台中市,霧峰區,2013,9,2,44.67
斜紋夜蛾,台中市,龍井區,2013,9,2,1
斜紋夜蛾,台中市,大甲區,2013,9,2,3
斜紋夜蛾,彰化縣,福興鄉,2013,9,1,19.67
斜紋夜蛾,彰化縣,田尾鄉,2013,9,1,8.33
斜紋夜蛾,彰化縣,大城鄉,2013,9,1,68.67
斜紋夜蛾,新竹縣,竹北市,2013,9,1,5
斜紋夜蛾,新北市,蘆洲區,2013,9,1,63
斜紋夜蛾,雲林縣,褒忠鄉,2013,9,1,12.33
斜紋夜蛾,高雄市,岡山區,2013,9,1,3.67
斜紋夜蛾,桃園縣,八德市,2013,9,1,10.67
斜紋夜蛾,苗栗縣,後龍鎮,2013,9,1,15.67
斜紋夜蛾,花蓮縣,新秀地區,2013,9,1,29.33
斜紋夜蛾,花蓮縣,吉安鄉,2013,9,1,9
斜紋夜蛾,台南市,官田區,2013,9,1,23.67
斜紋夜蛾,台中市,龍井區,2013,9,1,22.33
斜紋夜蛾,台中市,大甲區,2013,9,1,5
斜紋夜蛾,彰化縣,福興鄉,2013,8,3,13.33
斜紋夜蛾,彰化縣,田尾鄉,2013,8,3,0
斜紋夜蛾,彰化縣,大城鄉,2013,8,3,25.67
斜紋夜蛾,新竹縣,竹北市,2013,8,3,4.33
斜紋夜蛾,新北市,蘆洲區,2013,8,3,98
斜紋夜蛾,雲林縣,褒忠鄉,2013,8,3,19.67
斜紋夜蛾,高雄市,岡山區,2013,8,3,4.67
斜紋夜蛾,苗栗縣,後龍鎮,2013,8,3,9.33
斜紋夜蛾,花蓮縣,新秀地區,2013,8,3,34.67
斜紋夜蛾,宜蘭縣,三星地區,2013,8,3,3
斜紋夜蛾,台南市,官田區,2013,8,3,6
斜紋夜蛾,台中市,霧峰區,2013,8,3,35.67
斜紋夜蛾,台中市,龍井區,2013,8,3,11.67
斜紋夜蛾,台中市,大甲區,2013,8,3,0.33
斜紋夜蛾,彰化縣,福興鄉,2013,8,1,33.7
斜紋夜蛾,彰化縣,田尾鄉,2013,8,1,5
斜紋夜蛾,彰化縣,大城鄉,2013,8,1,40.7
斜紋夜蛾,新竹縣,竹北市,2013,8,1,5.3
斜紋夜蛾,新北市,蘆洲區,2013,8,1,76.7
斜紋夜蛾,雲林縣,褒忠鄉,2013,8,1,6.7
斜紋夜蛾,高雄市,岡山區,2013,8,1,8
斜紋夜蛾,苗栗縣,後龍鎮,2013,8,1,8
斜紋夜蛾,花蓮縣,新秀地區,2013,8,1,40.3
斜紋夜蛾,花蓮縣,吉安鄉,2013,8,1,10
斜紋夜蛾,宜蘭縣,三星地區,2013,8,1,0.3
斜紋夜蛾,台南市,官田區,2013,8,1,16.7
斜紋夜蛾,台中市,霧峰區,2013,8,1,35.3
斜紋夜蛾,台中市,龍井區,2013,8,1,21.3
斜紋夜蛾,台中市,大甲區,2013,8,1,1
斜紋夜蛾,彰化縣,福興鄉,2013,7,3,19.7
斜紋夜蛾,彰化縣,田尾鄉,2013,7,3,6.7
斜紋夜蛾,彰化縣,大城鄉,2013,7,3,25.7
斜紋夜蛾,新竹縣,竹北市,2013,7,3,5.3
斜紋夜蛾,新北市,蘆洲區,2013,7,3,27.3
斜紋夜蛾,雲林縣,褒忠鄉,2013,7,3,3
斜紋夜蛾,高雄市,岡山區,2013,7,3,5.3
斜紋夜蛾,苗栗縣,後龍鎮,2013,7,3,5.3
斜紋夜蛾,花蓮縣,新秀地區,2013,7,3,42.7
斜紋夜蛾,花蓮縣,吉安鄉,2013,7,3,9.3
斜紋夜蛾,宜蘭縣,三星地區,2013,7,3,1.3
斜紋夜蛾,台南市,官田區,2013,7,3,9.3
斜紋夜蛾,台中市,霧峰區,2013,7,3,33
斜紋夜蛾,台中市,龍井區,2013,7,3,4.3
斜紋夜蛾,台中市,大甲區,2013,7,3,2
斜紋夜蛾,彰化縣,福興鄉,2013,7,2,35.7
斜紋夜蛾,彰化縣,田尾鄉,2013,7,2,6.7
斜紋夜蛾,彰化縣,大城鄉,2013,7,2,31
斜紋夜蛾,新竹縣,竹北市,2013,7,2,7
斜紋夜蛾,新北市,蘆洲區,2013,7,2,21
斜紋夜蛾,雲林縣,褒忠鄉,2013,7,2,0
斜紋夜蛾,高雄市,岡山區,2013,7,2,2.3
斜紋夜蛾,花蓮縣,新秀地區,2013,7,2,37
斜紋夜蛾,花蓮縣,吉安鄉,2013,7,2,7.7
斜紋夜蛾,宜蘭縣,三星地區,2013,7,2,3
斜紋夜蛾,台南市,官田區,2013,7,2,35.7
斜紋夜蛾,台中市,霧峰區,2013,7,2,32
斜紋夜蛾,台中市,龍井區,2013,7,2,69.3
斜紋夜蛾,台中市,大甲區,2013,7,2,1
斜紋夜蛾,彰化縣,福興鄉,2013,7,1,52.7
斜紋夜蛾,彰化縣,田尾鄉,2013,7,1,10
斜紋夜蛾,彰化縣,大城鄉,2013,7,1,21
斜紋夜蛾,新竹縣,竹北市,2013,7,1,7
斜紋夜蛾,新北市,蘆洲區,2013,7,1,21.7
斜紋夜蛾,雲林縣,褒忠鄉,2013,7,1,9.7
斜紋夜蛾,高雄市,岡山區,2013,7,1,4.7
斜紋夜蛾,苗栗縣,後龍鎮,2013,7,1,73.3
斜紋夜蛾,苗栗縣,公館鄉,2013,7,1,1.7
斜紋夜蛾,花蓮縣,新秀地區,2013,7,1,34.3
斜紋夜蛾,花蓮縣,吉安鄉,2013,7,1,8.3
斜紋夜蛾,宜蘭縣,三星地區,2013,7,1,13
斜紋夜蛾,台南市,官田區,2013,7,1,29.7
斜紋夜蛾,台中市,霧峰區,2013,7,1,16.3
斜紋夜蛾,台中市,龍井區,2013,7,1,147.7
斜紋夜蛾,台中市,大甲區,2013,7,1,0.3
斜紋夜蛾,彰化縣,福興鄉,2013,6,3,34
斜紋夜蛾,彰化縣,大城鄉,2013,6,3,26
斜紋夜蛾,新竹縣,竹北市,2013,6,3,17.3
斜紋夜蛾,新北市,蘆洲區,2013,6,3,22
斜紋夜蛾,雲林縣,褒忠鄉,2013,6,3,5
斜紋夜蛾,高雄市,岡山區,2013,6,3,3.7
斜紋夜蛾,苗栗縣,後龍鎮,2013,6,3,109
斜紋夜蛾,花蓮縣,新秀地區,2013,6,3,34
斜紋夜蛾,花蓮縣,吉安鄉,2013,6,3,9.3
斜紋夜蛾,宜蘭縣,三星地區,2013,6,3,14.3
斜紋夜蛾,台南市,官田區,2013,6,3,22
斜紋夜蛾,台中市,霧峰區,2013,6,3,18
斜紋夜蛾,台中市,龍井區,2013,6,3,182.7
斜紋夜蛾,台中市,大甲區,2013,6,3,5.7
斜紋夜蛾,彰化縣,福興鄉,2013,6,2,0
斜紋夜蛾,彰化縣,田尾鄉,2013,6,2,0
斜紋夜蛾,彰化縣,大城鄉,2013,6,2,0
斜紋夜蛾,新竹縣,竹北市,2013,6,2,0
斜紋夜蛾,新北市,蘆洲區,2013,6,2,0
斜紋夜蛾,雲林縣,褒忠鄉,2013,6,2,0
斜紋夜蛾,高雄市,岡山區,2013,6,2,0
斜紋夜蛾,苗栗縣,後龍鎮,2013,6,2,0
斜紋夜蛾,苗栗縣,公館鄉,2013,6,2,0
斜紋夜蛾,花蓮縣,新秀地區,2013,6,2,0
斜紋夜蛾,花蓮縣,吉安鄉,2013,6,2,0
斜紋夜蛾,宜蘭縣,三星地區,2013,6,2,0
斜紋夜蛾,台南市,官田區,2013,6,2,0
斜紋夜蛾,台中市,霧峰區,2013,6,2,0
斜紋夜蛾,台中市,龍井區,2013,6,2,0
斜紋夜蛾,台中市,大甲區,2013,6,2,0
斜紋夜蛾,彰化縣,福興鄉,2013,5,3,3.7
斜紋夜蛾,彰化縣,田尾鄉,2013,5,3,11.7
斜紋夜蛾,彰化縣,大城鄉,2013,5,3,45.3
斜紋夜蛾,新竹縣,竹北市,2013,5,3,4
斜紋夜蛾,新北市,蘆洲區,2013,5,3,9
斜紋夜蛾,雲林縣,褒忠鄉,2013,5,3,8
斜紋夜蛾,高雄市,岡山區,2013,5,3,2.3
斜紋夜蛾,苗栗縣,後龍鎮,2013,5,3,28.3
斜紋夜蛾,苗栗縣,公館鄉,2013,5,3,3
斜紋夜蛾,花蓮縣,新秀地區,2013,5,3,26.7
斜紋夜蛾,花蓮縣,吉安鄉,2013,5,3,9.7
斜紋夜蛾,宜蘭縣,三星地區,2013,5,3,22.3
斜紋夜蛾,台南市,官田區,2013,5,3,6.7
斜紋夜蛾,台中市,霧峰區,2013,5,3,9.3
斜紋夜蛾,台中市,龍井區,2013,5,3,111
斜紋夜蛾,台中市,大甲區,2013,5,3,8.3
斜紋夜蛾,彰化縣,福興鄉,2013,5,2,4
斜紋夜蛾,彰化縣,田尾鄉,2013,5,2,6.7
斜紋夜蛾,彰化縣,大城鄉,2013,5,2,30.7
斜紋夜蛾,新竹縣,竹北市,2013,5,2,4.7
斜紋夜蛾,新北市,蘆洲區,2013,5,2,21
斜紋夜蛾,雲林縣,褒忠鄉,2013,5,2,12.7
斜紋夜蛾,高雄市,岡山區,2013,5,2,3.7
斜紋夜蛾,桃園縣,八德市,2013,5,2,11
斜紋夜蛾,苗栗縣,後龍鎮,2013,5,2,17
斜紋夜蛾,花蓮縣,新秀地區,2013,5,2,28
斜紋夜蛾,花蓮縣,吉安鄉,2013,5,2,10.3
斜紋夜蛾,宜蘭縣,三星地區,2013,5,2,13.7
斜紋夜蛾,台南市,官田區,2013,5,2,4.7
斜紋夜蛾,台中市,霧峰區,2013,5,2,16.7
斜紋夜蛾,台中市,龍井區,2013,5,2,138.7
斜紋夜蛾,台中市,大甲區,2013,5,2,4.7
斜紋夜蛾,彰化縣,福興鄉,2013,5,1,4.7
斜紋夜蛾,彰化縣,田尾鄉,2013,5,1,11.7
斜紋夜蛾,彰化縣,大城鄉,2013,5,1,24
斜紋夜蛾,新竹縣,竹北市,2013,5,1,4.3
斜紋夜蛾,新北市,蘆洲區,2013,5,1,9.7
斜紋夜蛾,雲林縣,褒忠鄉,2013,5,1,9.7
斜紋夜蛾,高雄市,岡山區,2013,5,1,4
